video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10_44_11_0,10_44_11_0,frame_108,0,255,3,1,False,False,True,0.0,False,[],[  -0.047796    -0.32801     0.94346],3.7147653710741775,9.934494054017176,2.376049989234571,0.4282479451279653,0.4248958482306241,31.5,11.32479451279653,35.951728612052484,0.6995756637871153,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_111,0,255,3,0,False,False,True,2.441863536834717,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_112,0,255,3,0,False,False,True,2.418224573135376,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_113,0,255,3,0,False,False,True,2.5687804222106934,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_115,0,255,3,1,False,False,True,0.0,False,[],,-0.0375803163395092,14.808503000582853,-1.0,0.4359340893219252,0.4367368680679787,31.5,12.093408932192517,38.39177438791277,0.692552195410179,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_117,0,255,3,0,False,False,True,2.462482690811157,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_118,0,255,3,1,False,False,True,0.0,False,[],,2.22647740871636,9.253469493257011,-1.0,0.4349105233745206,0.4340058711427147,31.5,11.99105233745206,38.06683281730812,0.7129485579866219,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_121,0,255,3,0,False,False,True,1.963372826576233,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_122,0,255,3,0,False,False,True,1.3707809448242188,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_124,0,255,3,0,True,False,True,1.273898720741272,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_125,0,255,3,0,False,False,True,1.4493474960327148,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_126,0,255,3,1,False,False,True,0.0,False,[],[    0.50741    -0.14805     0.84889],-0.4296233380925776,15.376114950717287,1.6655101445197742,0.4293565357994707,0.4209763283827105,31.5,11.435653579947072,36.30366215856212,0.6921040463364709,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_128,0,255,3,0,False,False,True,2.568028926849365,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_129,0,255,3,0,False,False,True,1.5385531187057495,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
