video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_m,rel_error_%,fish_dist_from_camera,aspect_ratio
2024_11_28,13_07_38_0,13_07_38_0,frame_162,0,255,13,1,False,False,[],[   0.062517    -0.20511     0.97674],-33.53897522462513,-13.581598054580317,0.6035426785113163,0.271824613990811,0.2851181152903407,28.9,1.7175386009188998,594.3040141587888,1.4546426791950589,6.284383067322507
2024_11_28,13_02_27_0,13_02_27_0,frame_0,0,255,2,1,False,False,[],[    0.95636    -0.27484    0.099183],0.4208133053744236,-15.329085031905873,0.3677591268599327,0.2876433336102791,0.3128119553537155,28.9,0.1356666389720817,46.943473692761856,1.7255872339150684,5.079999844480079
2024_11_28,13_02_27_0,13_02_27_0,frame_0,0,127,1,0,True,False,[],,,,,,,28.9,,,,1.0666666666666669
2024_11_28,13_02_27_0,13_02_27_0,frame_1,0,255,1,0,True,False,[],,,,,,,28.9,,,,1.5217391304347827
2024_11_28,13_02_27_0,13_02_27_0,frame_2,0,255,2,1,False,False,[],[    0.91927    -0.27249     0.28406],-0.5001330673327844,-15.520397269185542,0.6761245821732055,0.2889928205293343,0.31216512674905,28.9,0.0007179470665641,0.2484245905066227,1.7279237261138298,5.009576123976731
2024_11_28,13_02_27_0,13_02_27_0,frame_3,0,255,2,1,False,False,[],[    0.93283    -0.35882   -0.032755],-1.737358200858944,-20.976279828943635,0.2872764848925625,0.2868673535881633,0.2889303594877192,28.9,0.2132646411836636,73.79399348915696,1.718226078632781,5.107790534146772
2024_11_28,13_02_27_0,13_02_27_0,frame_4,0,255,2,1,False,False,[],[    0.91769    -0.39696     0.01619],0.7606009455473035,-23.280419784789604,0.2847685289275671,0.2838598114532717,0.3001403265882861,28.9,0.5140188546728208,177.86119538851932,1.71880623633603,5.2008749370609975
2024_11_28,13_02_27_0,13_02_27_0,frame_5,0,255,2,1,False,False,[],[    0.89626    -0.39947     0.19272],5.441709622531538,-23.58002938026309,0.3590364444276599,0.2845154212328035,0.3126427594581921,28.9,0.4484578767196434,155.17573588915,1.7192923910897846,5.122764955777886
2024_11_28,13_02_27_0,13_02_27_0,frame_6,0,255,2,1,False,False,[],[    0.38029    -0.22391     0.89735],9.571275040649558,-24.937406923420674,1.6216782955889593,0.3071153329120392,0.2983932492393866,28.9,1.8115332912039208,626.8281284442633,1.718403922088988,4.912456519602332
2024_11_28,13_02_27_0,13_02_27_0,frame_7,0,255,2,1,False,False,[],[     0.2584    -0.10989     0.95977],1.4576731798715084,-23.29231164959298,1.4565550118357848,0.285277089122199,0.3023303747860179,28.9,0.3722910877800967,128.82044559864937,1.726671678098075,5.2065438738040015
2024_11_28,13_02_27_0,13_02_27_0,frame_8,0,255,2,1,False,False,[],[    0.92308     -0.3843   -0.015035],-0.7607001958911072,-22.54130659340949,0.2804523402680881,0.2745191705731408,0.2866685226688254,28.9,1.4480829426859188,501.0667621750584,1.725622335028881,5.049504804513771
2024_11_28,13_02_27_0,13_02_27_0,frame_9,0,255,2,1,False,False,[],[    0.76179    -0.31808     0.56436],4.916676293269822,-21.567445296280543,0.9720567850810876,0.2854693396883094,0.2890009151630002,28.9,0.3530660311690581,122.1681768751066,1.7279459420831684,5.017618447822919
2024_11_28,13_02_27_0,13_02_27_0,frame_10,0,255,2,1,False,False,[],[    0.77333    -0.38112     0.50667],9.016031889043074,-25.844127997302056,0.8889111152237663,0.2785215009505944,0.3045033596026055,28.9,1.047849904940551,362.57782177873736,1.726041359695854,4.992600625544582
2024_11_28,13_02_27_0,13_02_27_0,frame_11,0,255,2,1,False,False,[],[    0.90405    -0.37195     0.21059],8.638951197144552,-22.4051322529268,0.3249378627062605,0.2979823787170037,0.2948321735541278,28.9,0.8982378717003747,310.8089521454584,1.7351203824720822,5.0265149504646525
2024_11_28,13_02_27_0,13_02_27_0,frame_12,0,255,2,1,False,False,[],[    0.85202    -0.18268      0.4906],7.322646771479664,-10.325007371233257,1.097878636337447,0.3102434546223226,0.286405800034149,28.9,2.124345462232263,735.0676339904024,1.7430398531009117,4.6560001904663055
2024_11_28,13_02_27_0,13_02_27_0,frame_13,0,255,2,1,False,False,[],[    0.45213    -0.12041     0.88379],-0.5837476249509257,-4.904160107841409,1.6248048436943945,0.275824722746341,0.2718088371358444,28.9,1.3175277253658912,455.8919464933881,1.7524036918454768,4.578073345737828
2024_11_28,13_02_27_0,13_02_27_0,frame_14,0,255,2,1,False,False,[],[    0.52277   -0.063967     0.85007],1.0284413427796335,5.0568371533626655,1.550086646980253,0.2737718426193766,0.2724042803319259,28.9,1.5228157380623386,526.9258609212245,1.7572958000360224,4.706108654988972
2024_11_28,13_02_27_0,13_02_27_0,frame_15,0,255,2,1,False,False,[],[    0.42407   -0.076077     0.90243],0.5153084660698759,-0.5554525668061625,1.5988550317573522,0.2805339498897745,0.2844637104952489,28.9,0.8466050110225443,292.9429103884237,1.742344080748879,5.318181818181818
2024_11_28,13_02_27_0,13_02_27_0,frame_16,0,255,2,1,False,False,[],[    0.51076    -0.12078      0.8512],-2.338757897693849,-5.476419324235306,1.4535502590735443,0.272731688299442,0.2643839204281907,28.9,1.6268311700557925,562.9173598808972,1.7306656851840378,4.786290111583757
2024_11_28,13_02_27_0,13_02_27_0,frame_17,0,255,2,1,False,False,[],[    0.66988   -0.062149     0.73987],-0.7757602936066658,-1.620767995022139,1.1413816960854006,0.2896725776654159,0.2790136659391796,28.9,0.0672577665415896,23.272583578404728,1.725100841899376,4.916666666666667
2024_11_28,13_02_27_0,13_02_27_0,frame_18,0,255,2,1,False,False,[],[    0.52417    -0.11661      0.8436],-6.369761834769284,1.8101274947541883,1.4736931995219154,0.2776071740587877,0.2790693850010376,28.9,1.139282594121227,394.2154304917741,1.7015018828845578,5.391304347826087
2024_11_28,13_02_27_0,13_02_27_0,frame_19,0,255,2,1,False,False,[],[    0.41714     -0.1199      0.9009],-10.307770894205431,0.7177293347289897,1.4758179405127665,0.2857881838737422,0.2872790107977382,28.9,0.321181612625776,111.13550609888443,1.6862025212021614,5.16
