track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,rel_error_perc,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt
Dataset_1_2024_11_28_13-19-06_0_19,19.0,22.53926628830567,21.6,0.9392662883056673,4.348455038452164,-0.2771309589367876,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_22,107.0,29.881174471439003,28.9,0.9811744714390045,3.3950673752214686,-8.116899677479825,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,caballa
Dataset_1_2024_11_28_13-19-06_0_25,9.0,22.26290746687204,21.6,0.6629074668720385,3.0690160503335115,-10.375181829233556,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_27,23.0,22.53372701890544,21.6,0.9337270189054401,4.32281027271037,-14.34750431331023,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_33,28.0,21.15236562678713,21.6,0.44763437321287114,2.0723813574669956,0.8877053899231401,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_40,82.0,21.9577905208202,21.6,0.357790520820199,1.6564375963898104,-8.789212332266118,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_5,16.0,21.19754577424552,21.6,0.4024542257544823,1.8632140081226032,-4.518552239325853,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,fish_3
Dataset_1_2024_11_28_13-19-06_0_7,12.0,30.21423580609185,28.9,1.314235806091851,4.547528740802253,7.924498653209454,Dataset_1,multiple_fish,2024_11_28,13-19-06_0,caballa
Dataset_1_2024_11_28_13-21-17_0_21,34.0,30.92276033044908,28.9,2.0227603304490813,6.999170693595437,1.2849204806566668,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,caballa
Dataset_1_2024_11_28_13-21-17_0_24,136.0,21.53454645788569,21.6,0.06545354211431231,0.30302565793663105,-0.5282799063627912,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,fish_3
Dataset_1_2024_11_28_13-21-17_0_39,13.0,33.42906203051289,21.6,11.829062030512887,54.76417606718928,6.678095455635235,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,fish_3
Dataset_1_2024_11_28_13-21-17_0_4,55.0,20.99387636408026,21.6,0.6061236359197402,2.806127944072871,8.174111902889171,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,fish_3
Dataset_1_2024_11_28_13-21-17_0_60,12.0,21.29042631041101,21.6,0.3095736895889907,1.4332115258749567,7.634800766187971,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,fish_3
Dataset_1_2024_11_28_13-21-17_0_72,8.0,22.86446649041011,21.6,1.2644664904101077,5.854011529676424,-17.99459016124777,Dataset_1,multiple_fish,2024_11_28,13-21-17_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_1,14.0,23.07645258517595,21.6,1.4764525851759487,6.835428635073836,-9.944989038191194,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_12,26.0,21.892817284949125,21.6,0.2928172849491233,1.3556355784681633,4.203150937401922,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_15,12.0,22.8615167682441,21.6,1.2615167682440998,5.840355408537498,20.83406595962182,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_16,7.0,29.50623178361058,28.9,0.6062317836105819,2.0976878325625674,-10.851562390122496,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_19,8.0,28.394031308287932,28.9,0.5059686917120665,1.7507567187268738,-3.572435965452442,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_21,7.0,20.48862535128401,21.6,1.1113746487159908,5.145253003314772,3.09561896967659,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_25,53.0,22.281014094249393,21.6,0.6810140942493916,3.152843028932369,4.854249779713553,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_27,32.0,29.998020509053593,28.9,1.098020509053594,3.799378924060879,2.192097558584751,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_32,13.0,21.743876069670957,21.6,0.1438760696709558,0.6660929151433138,-7.3614826268759215,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_35,14.0,21.719077930363458,21.6,0.11907793036345637,0.5512867146456314,-1.494583424182302,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_36,12.0,30.12943486814098,28.9,1.2294348681409808,4.2540998897611795,0.8832900667226847,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_4,38.0,21.610888598940168,21.6,0.01088859894016636,0.05041018027854797,6.241761731508382,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_41,16.0,21.38923041876049,21.6,0.21076958123951073,0.9757850983310681,6.111193508055695,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_44,19.0,29.10355218224117,28.9,0.20355218224117166,0.7043328105230854,11.568913340016769,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_50,13.0,22.86278317565218,21.6,1.262783175652178,5.84621840579712,-10.021230912747537,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_54,6.0,29.42889969317501,28.9,0.5288996931750098,1.830102744550207,5.714136268766737,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-23-29_0_60,6.0,21.90212891301765,21.6,0.302128913017647,1.3987449676742916,1.2945097182400218,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_61,32.0,21.750992508667956,21.6,0.15099250866795444,0.6990393919812705,-6.121277183055267,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,fish_3
Dataset_1_2024_11_28_13-23-29_0_62,10.0,35.32672064892949,28.9,6.426720648929489,22.237787712558788,-16.62797189919989,Dataset_1,multiple_fish,2024_11_28,13-23-29_0,caballa
Dataset_1_2024_11_28_13-25-41_0_1,59.0,31.244818639068818,28.9,2.3448186390688193,8.1135593047364,-8.739512194846348,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_11,23.0,29.90852121616757,28.9,1.0085212161675727,3.489692789507172,-7.962183612004394,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_12,16.0,28.665597390531662,28.9,0.23440260946833646,0.8110816936620638,-9.046525728575785,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_17,9.0,21.73405055552989,21.6,0.13405055552988898,0.620604423749486,-6.285948428345881,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_2,50.0,21.912926601200468,21.6,0.31292660120046634,1.4487342648169736,4.940555618913606,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_36,22.0,29.3948663359899,28.9,0.4948663359899008,1.7123402629408333,4.574706440599339,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_38,38.0,26.13986267665614,21.6,4.5398626766561385,21.017882762296935,-0.08891506137768944,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_44,49.0,29.66483050992357,28.9,0.7648305099235699,2.6464723526767124,-1.0395421961788387,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_46,6.0,21.39258658966515,21.6,0.20741341033485128,0.9602472700687559,-23.04629025890952,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_5,9.0,22.904809306086598,21.6,1.3048093060865966,6.040783824474984,-4.355448260890293,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_51,6.0,22.240817612653142,21.6,0.6408176126531409,2.966748206727504,-6.821626013441395,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_53,32.0,21.852376463054686,21.6,0.2523764630546843,1.168409551179094,4.586147753000378,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_63,7.0,29.25786063536895,28.9,0.35786063536895085,1.238272094702252,8.204633858703803,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_67,25.0,21.404474915691907,21.6,0.19552508430809468,0.9052087236485864,-6.6826273176639255,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-25-41_0_68,35.0,30.52635471945187,28.9,1.6263547194518715,5.627524980802324,11.433771502559818,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,caballa
Dataset_1_2024_11_28_13-25-41_0_70,33.0,26.47059120340942,21.6,4.870591203409418,22.549033349117675,-0.013797499034996483,Dataset_1,multiple_fish,2024_11_28,13-25-41_0,fish_3
Dataset_1_2024_11_28_13-27-52_0_1,32.0,29.605911809805786,28.9,0.7059118098057873,2.442601418013105,2.7383997015695978,Dataset_1,multiple_fish,2024_11_28,13-27-52_0,caballa
Dataset_1_2024_11_28_13-27-52_0_11,72.0,29.581592844559783,28.9,0.6815928445597841,2.3584527493418137,-2.3166231917298745,Dataset_1,multiple_fish,2024_11_28,13-27-52_0,caballa
Dataset_1_2024_11_28_13-27-52_0_12,9.0,19.06585058959305,21.6,2.5341494104069504,11.732173196328473,13.27247230761651,Dataset_1,multiple_fish,2024_11_28,13-27-52_0,fish_3
Dataset_1_2024_11_28_13-27-52_0_13,13.0,23.323355102551098,21.6,1.7233551025510963,7.978495845143964,11.609671814907053,Dataset_1,multiple_fish,2024_11_28,13-27-52_0,fish_3
Dataset_1_2024_11_28_13-27-52_0_2,38.0,21.39957750416658,21.6,0.20042249583342198,0.9278819251547313,-9.429870791914071,Dataset_1,multiple_fish,2024_11_28,13-27-52_0,fish_3
